Decisao;Tipo
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado as em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 31/34, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'cirurgia geral - adulto'.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado as representado(a) por anonimizado   em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 57/61, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado  o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho GG independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 46/50, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 41/44, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'consulta em Oftalmologia retina geral'.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado representado(a) por anonimizado contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado  contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 03 unidades por dia 90 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado i da   , contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho M independente de marca ou do fabricante, desde que atendendo à sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto à obrigação da parte demandada no fornecimento das aludidas fraldas.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizador de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 20/23, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'Consulta com especialista em Cardiologia'.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado, representado(a) por anonimizado iuk, em desfavor do Município de Campo Grande/MS e do Estado de Mato Grosso do Sul, já qualificados, para o fim de ratificar a tutela de pp. 24/28, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
